ticket_id,date,engineer,category,description,fix_applied,status
ST-1001,2025-11-15,Alex Chen,thermal,QPU Thermal Overload on QFE-200 - all fans operational but temps high,Replaced thermal paste on QPU-2 and QPU-3,resolved
ST-1002,2025-11-18,Priya Sharma,memory,Intermittent Memory Allocation Failure under moderate load on QFE-200,Reduced gc_interval to 30s and buffer_size to 2048KB as temporary workaround,experimental
ST-1003,2025-11-22,Alex Chen,hardware,Flux Capacitor Module Degradation on QFE-100 - FCM health 52%,Replaced FCM (QF-FCM-2400) and ran full calibration,resolved
ST-1004,2025-11-25,Marcus Johnson,hardware,QF-003 on QFE-200 - FCM health 58% - customer wants to avoid downtime,Experimental quantum buffer reset and recalibration extended FCM life ~3 months,experimental
ST-1005,2025-12-01,Priya Sharma,installation,New QFE-300 warmup completed in 5 min instead of 10 min - QPU temps only 68C,Updated firmware from v2.3.1 to v2.4.1 - warmup bug fixed,resolved
ST-1006,2025-12-03,Alex Chen,network,Frequent QF-004 Network Partition alerts on QFE-200 cluster - 2-3 per day,Whitelisted cluster traffic on security appliance and increased heartbeat timeout,resolved
ST-1007,2025-12-05,Marcus Johnson,storage,QF-005 Storage Degraded on QFE-300 - two drives showing SMART errors,Hot-swapped both drives - RAID rebuild took 4.5 hours,resolved
ST-1008,2025-12-08,Priya Sharma,installation,New QFE-100 calibration Step 2 fails - Lane 3 clock instability,RMA'd QPU module - replacement installed and calibration passed,resolved
ST-1009,2025-12-10,Alex Chen,configuration,Customer asks about optimal max_threads for QFE-200 mixed workload,Benchmarked values 8-24 - confirmed default of 16 is optimal,resolved
ST-1010,2025-12-12,Marcus Johnson,data_integrity,QF-008 Data Integrity Failure after power loss on QFE-200,Restored from WAL checkpoint - lost ~45 seconds of data - recommended UPS upgrade,resolved
ST-1011,2025-12-15,Priya Sharma,configuration,Buffer overflow warnings with large JSON payloads on QFE-100,Increased buffer_size to 8192KB and reduced max_threads to 12 - experimental config,experimental
ST-1012,2025-12-18,Alex Chen,hardware,QF-003 on QFE-300 - two FCMs at 45% and 51% health - unit 22 months old,Replaced both degraded FCMs - other two at 78% and 82%,resolved
ST-1013,2025-12-20,Marcus Johnson,configuration,Customer wants ZSTD compression instead of LZ4 for compliance archival,Switched to ZSTD - better ratio (3.4:1 vs 2.1:1) with acceptable 15% throughput drop,resolved
ST-1014,2025-12-22,Priya Sharma,installation,Replacement QPU warmup takes 12 min instead of 10 min on QFE-100,Revision B silicon has slightly different thermal profile - 12 min within tolerance,resolved
ST-1015,2025-12-28,Alex Chen,hardware,QF-003 on QFE-200 - FCM health 55% - cannot schedule downtime for 6 weeks,Applied quantum buffer reset and experimental power throttling to extend FCM life,experimental
ST-1016,2026-01-05,Marcus Johnson,calibration,Customer asks about 2-step vs 3-step calibration after firmware upgrade,Advised 3-step calibration per v2.4 manual - old 2-step deprecated since v2.0,resolved
ST-1017,2026-01-10,Priya Sharma,hardware,QF-003 on QFE-100 - FCM health 48% - previous buffer reset worn off,Tried buffer reset then FCM replacement in sequence for zero data loss,experimental
ST-1018,2026-01-15,Alex Chen,installation,Customer confused about warmup temp - wiki says 65C but manual says 75C,Confirmed 75C is correct per v2.4 manual - wiki is outdated from v1.x era,resolved
ST-1019,2026-01-20,Marcus Johnson,performance,Slow throughput on QFE-100 after 8 months without maintenance,Ran quarterly maintenance tasks - found thermal paste degradation - replaced and recalibrated,resolved
ST-1020,2026-01-25,Priya Sharma,cluster,QF-009 Cluster Consensus Failure on 4-node QFE-200 cluster,Found NTP misconfiguration causing 800ms clock skew - fixed NTP and cluster recovered,resolved
ST-1021,2026-02-01,Alex Chen,security,Customer locked out after 5 failed login attempts - lockout_duration too short,Increased lockout_duration from 300s to 600s and enabled progressive lockout,resolved
ST-1022,2026-02-05,Marcus Johnson,hardware,QF-003 on QFE-200 - FCM replaced but calibration Step 1 fails afterwards,Found incompatible FCM revision - replaced with correct revision and calibration passed,resolved
ST-1023,2026-02-10,Priya Sharma,configuration,Customer running max_threads=8 per old wiki recommendation - poor throughput,Updated to max_threads=16 per current manual - throughput improved 45%,resolved
ST-1024,2026-02-15,Alex Chen,installation,Customer reports 2-step calibration from wiki docs failed on new QFE-300,Guided customer to use 3-step calibration from v2.4 manual - wiki is deprecated,resolved
